Index,ID,Query,SmilesRan,Error,Exp_Value:_-Log10(mol/L),Pred_Value:_-Log10(mol/L),Exp_Value:_mg/L,Pred_Value:_mg/L,
2094,C_PDUPXVBNXBQTQH-UHFFFAOYSA-N,C1(C(C(C(N(C(C1([H])[H])([H])[H])C(C2=C([H])N(C=3C(=C(C(=C(C23)[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],[H]C=1C([H])=C([H])C2=C(C1[H])N([H])C([H])=C2C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H],,N/A,4.96,N/A,2.53,bmse011368
2095,C_XEAXHIGGZMUNSO-UHFFFAOYSA-N,C(C(C(N(C(N(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])[H])=O)[H])([H])[H])(O[H])[H])([H])([H])[H],[H]OC([H])(C([H])([H])[H])C([H])([H])N([H])C(=O)N([H])C=1C([H])=C([H])C([H])=C([H])C1[H],,N/A,3.32,N/A,92.15,bmse011369
2096,87919-30-0,C(C(C(C([H])([H])O[H])(N(C(N(C1=C(C([H])=C(C(=C1[H])[H])Cl)[H])[H])=O)[H])[H])([H])[H])([H])([H])[H],ClC1=CC=C(C=C1)NC(O)=NC(CO)CC,,N/A,N/A,N/A,N/A,bmse011370
2097,C_BTFSIMIIDGGVRU-UHFFFAOYSA-N,C(C(C=1C(=C(C(=C(C1[H])[H])N(C(C([H])([H])N2C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])=O)[H])[H])[H])=O)([H])([H])[H],[H]C=1C([H])=C(C([H])=C([H])C1N([H])C(=O)C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C(=O)C([H])([H])[H],,N/A,4.44,N/A,9,bmse011371
2098,364599-60-0,C=1(C(=C(C(=C(C1[H])C(N(C=2N(C=3C(=C(C(=C(C3N2)[H])[H])[H])[H])[H])[H])([H])[H])O[H])[H])[H])[H],OC=1C=CC=CC1CNC2=NC=3C=CC=CC3N2,,N/A,5.03,N/A,2.21,bmse011372
2099,C_MDDVOSSRTNAXHJ-UHFFFAOYSA-N,C(OC(C=1C(=C(C(=C(C1[H])[H])N(C(C(F)(F)F)=O)[H])[H])[H])=O)([H])([H])[H],[H]C=1C([H])=C(C([H])=C([H])C1N([H])C(=O)C(F)(F)F)C(=O)OC([H])([H])[H],,N/A,4.35,N/A,10.94,bmse011373
2100,C_HYRDVXQOZUFAFW-UHFFFAOYSA-N,C(C1(C(C([H])([H])C=2C([H])=C(C(=C(C2[H])[H])OC([H])([H])[H])[H])([H])[H])C(N(C(N1[H])=O)[H])=O)([H])([H])[H],[H]C=1C([H])=C(C([H])=C([H])C1OC([H])([H])[H])C([H])([H])C([H])([H])C2(N([H])C(=O)N([H])C2=O)C([H])([H])[H],,N/A,3.83,N/A,36.78,bmse011374
2101,C_LYHONYWOPDLTBH-UHFFFAOYSA-N,C(C(C(C1=C([H])C(OC=2C([H])=C(C(=C(C12)[H])[H])OC(C([H])([H])[H])=O)=O)([H])[H])([H])[H])([H])([H])[H],[H]C1=C([H])C2=C(OC(=O)C([H])=C2C([H])([H])C([H])([H])C([H])([H])[H])C([H])=C1OC(=O)C([H])([H])[H],,N/A,4.7,N/A,4.93,bmse011375
2102,5585-33-1,C1(=C(C(=C(C(=C1[H])[H])N2C([H])([H])C([H])([H])OC(C2([H])[H])([H])[H])N([H])[H])[H])[H],O1CCN(C=2C=CC=CC2N)CC1,,N/A,2.87,N/A,240.98,bmse011376
2103,1496-40-8,C1(C(C(N(C(C1([H])[H])([H])[H])C=2C(=C(C(=C([H])C2N([H])[H])C(F)(F)F)[H])[H])([H])[H])([H])[H])([H])[H],FC(F)(F)C1=CC=C(C(N)=C1)N2CCCCC2,,N/A,5.04,N/A,2.21,bmse011377
2104,C_QXUVYTBNZWWCES-UHFFFAOYSA-N,C(N(C([H])([H])[H])C(C(N1C(C=2C(=C([H])C(=C(C2C1=O)[H])[H])[H])=O)([H])[H])([H])[H])([H])([H])[H],[H]C=1C([H])=C([H])C2=C(C1[H])C(=O)N(C2=O)C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H],,N/A,3.48,N/A,72.92,bmse011378
2105,2015-14-7,C(C(N(C(C=1C(=C(C(=C(C1[H])[H])S(N([H])[H])(=O)=O)[H])[H])([H])[H])[H])=O)([H])([H])[H],O=C(NCC1=CC=C(C=C1)S(=O)(=O)N)C,,N/A,N/A,N/A,N/A,bmse011379
2106,C_YJAMPQZPTKVFIU-UHFFFAOYSA-N,C1(=C(C(=C(C(=C1[H])[H])C(C(N(C(N(C2(C(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])=O)[H])([H])[H])([H])[H])[H])[H])[H],[H]C=1C([H])=C([H])C(=C([H])C1[H])C([H])([H])C([H])([H])N([H])C(=O)N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],,N/A,4.51,N/A,7.56,bmse011380
2107,342385-30-2,C(N1C=2C(=C(C(=C(C2N=C1C([H])([H])N(C3(C(C(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])[H])[H])([H])([H])[H],N=1C=2C=CC=CC2N(C1CNC3CCCCC3)C,,N/A,4.93,N/A,2.87,bmse011381
2108,15029-38-6,C1(C(C(C(C(C1([H])[H])([H])[H])(N(C(C(C#N)([H])[H])=O)[H])[H])([H])[H])([H])[H])([H])[H],N#CCC(=O)NC1CCCCC1,,N/A,3.46,N/A,57.52,bmse011382
2109,C_GSMVTQDRELNXRQ-UHFFFAOYSA-N,C=1(C(=C(C(N(C(C([H])([H])C2=C([H])C([H])=C(C(=C2[H])[H])F)([H])[H])[H])=O)OC1[H])[H])[H],[H]C=1OC(=C([H])C1[H])C(=O)N([H])C([H])([H])C([H])([H])C2=C([H])C([H])=C(F)C([H])=C2[H],,N/A,5.03,N/A,2.16,bmse011383
2110,27115-49-7,C(C=1C(=C(C(=C(C1[H])C(N(C([H])([H])C(=O)O[H])[H])=O)[H])[H])[H])([H])([H])[H],O=C(O)CNC(=O)C1=CC=CC(=C1)C,,N/A,3.39,N/A,78.28,bmse011384
2111,133604-67-8,C(N(C([H])([H])C(=O)O[H])C(C=1C([H])=C([H])C(=C(C1[H])[H])F)=O)([H])([H])[H],O=C(O)CN(C(=O)C1=CC=C(F)C=C1)C,,N/A,3.39,N/A,85.66,bmse011385
2112,C_JYOXGDPYEUEAFQ-UHFFFAOYSA-N,C(C1=C(C(C([H])([H])[H])=NN1[H])C=2C(=C([H])C(=C(C2N([H])[H])[H])[H])[H])([H])([H])[H],[H]N([H])C=1C([H])=C([H])C([H])=C([H])C1C=2C(=NN([H])C2C([H])([H])[H])C([H])([H])[H],,N/A,N/A,N/A,N/A,bmse011386
2113,C_IQHALCWAYMQEQI-UHFFFAOYSA-N,C(N(C([H])([H])[H])C(N1C([H])([H])C([H])([H])N(C(N(C([H])([H])[H])C([H])([H])[H])=O)C(C1([H])[H])([H])[H])=O)([H])([H])[H],[H]C([H])([H])N(C(=O)N1C([H])([H])C([H])([H])N(C(=O)N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H],,N/A,0.51,N/A,70398.74,bmse011387
2114,C_GFGGXIIHWJXKMZ-UHFFFAOYSA-N,C(C(C=1C(=C(C(=C(C1[H])N(C(N2C([H])([H])C([H])([H])OC(C2([H])[H])([H])[H])=O)[H])[H])[H])[H])=O)([H])([H])[H],[H]C=1C([H])=C(C([H])=C(C1[H])C(=O)C([H])([H])[H])N([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H],,N/A,3.63,N/A,58.82,bmse011388
2115,C_LTSGSFRZJKFMMU-UHFFFAOYSA-N,C(C(N(C=1C(=C(C(=C(C1[H])[H])OC(N2C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])=O)[H])[H])[H])=O)([H])([H])[H],[H]C=1C([H])=C(C([H])=C([H])C1OC(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])N([H])C(=O)C([H])([H])[H],,N/A,4.47,N/A,8.38,bmse011389
2116,C_AYNTYKLVPWIEEX-UHFFFAOYSA-N,C=1(C(=C([H])C([H])=C(C1[H])O[H])N(C(N2C([H])([H])C([H])([H])OC(C2([H])[H])([H])[H])=O)[H])[H],[H]OC1=C([H])C([H])=C(C([H])=C1[H])N([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H],,N/A,3.37,N/A,94.77,bmse011390
2117,141482-19-1,C(S(N1C(C([H])([H])C(C(C1([H])[H])([H])[H])([H])O[H])([H])[H])(=O)=O)([H])([H])[H],O=S(=O)(N1CCC(O)CC1)C,,N/A,2.32,N/A,851.62,bmse011391
2118,10224-69-8,C(N(C=1C(=C([H])C(=C(C1S(C([H])([H])[H])(=O)=O)[H])[H])[H])[H])([H])([H])[H],O=S(=O)(C=1C=CC=CC1NC)C,,N/A,3.2,N/A,116.18,bmse011392
2119,C_IHUPDLORJYONDM-UHFFFAOYSA-N,C1(=C(C(=C(C(=C1[H])[H])C(N(C=2C(=C(C(=C(C2[H])[H])C(N([H])[H])=O)[H])[H])[H])=O)[H])[H])[H],[H]N([H])C(=O)C1=C([H])C([H])=C(C([H])=C1[H])N([H])C(=O)C=2C([H])=C([H])C([H])=C([H])C2[H],,N/A,4.79,N/A,3.87,bmse011393
2120,C_YIOYWZUOBVMFGA-UHFFFAOYSA-N,C(C(N1C([H])([H])C=2C([H])=C([H])C(=C(C2C1([H])[H])[H])N([H])[H])=O)([H])([H])[H],[H]N([H])C1=C([H])C([H])=C2C(=C1[H])C([H])([H])N(C(=O)C([H])([H])[H])C2([H])[H],,N/A,2.88,N/A,234.33,bmse011394
2121,42966-95-0,C(OC=1C(=C(C(=C(C1C2=NN=C(O2)[H])[H])[H])[H])[H])([H])([H])[H],N=1N=C(OC1)C=2C=CC=CC2OC,,N/A,3.54,N/A,51.37,bmse011395
2122,37622-90-5,C(C(OC(C1=C([H])N(N=C1[H])[H])=O)([H])[H])([H])([H])[H],O=C(OCC)C=1C=NNC1,,N/A,N/A,N/A,N/A,bmse011396
2123,133902-66-6,C=1(C(=C(C(=C([H])C1Cl)[H])N2C(=C(C([H])([H])O[H])N=N2)[H])[H])[H],ClC1=CC=C(C=C1)N2N=NC(=C2)CO,,N/A,3.83,N/A,31.04,bmse011397
2124,C_BSCMGZSMMYUDIC-UHFFFAOYSA-N,C(C(C1=NC(C([H])([H])C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])=NO1)([H])N([H])[H])([H])([H])[H].Cl[H],Cl[H].[H]N([H])C([H])(C1=NC(=NO1)C([H])([H])C=2C([H])=C([H])C([H])=C([H])C2[H])C([H])([H])[H],Multiple molecules,,,,,bmse011398
2125,886761-61-1,C(C=1C(=C(C(=C(C1[H])F)C(N([H])[H])=O)[H])[H])([H])([H])[H],O=C(N)C1=CC=C(C=C1F)C,,N/A,3.36,N/A,66.46,bmse011399
2126,76653-16-2,C(C(C(S(N([H])[H])(=O)=O)([H])[H])([H])C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])([H])([H])[H],O=S(=O)(N)CC(C=1C=CC=CC1)C,,N/A,3.74,N/A,36.67,bmse011400
2127,37137-42-1,C1(=C(C=2C(=C(C(=NC2C(=C1[H])[H])C(N([H])O[H])=O)[H])[H])[H])[H],O=C(NO)C=1N=C2C=CC=CC2=CC1,,N/A,N/A,N/A,N/A,bmse011401
2128,C_OUJFDUTZTPBMDN-UHFFFAOYSA-N,C(N1C(C(C(C=2C(=C(C(=C([H])C21)S(N([H])[H])(=O)=O)[H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],[H]N([H])S(=O)(=O)C1=C([H])C([H])=C2C(=C1[H])N(C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H],,N/A,N/A,N/A,N/A,bmse011402
2129,C_DWPGGNJRLYKHCD-UHFFFAOYSA-N,C(S(=O)(=O)C1=NC([H])=C(N1C([H])([H])C2=C([H])SC(=N2)[H])[H])([H])([H])[H],[H]C1=NC(=C([H])S1)C([H])([H])N2C([H])=C([H])N=C2S(=O)(=O)C([H])([H])[H],,N/A,N/A,N/A,N/A,bmse011403
2130,C_VSXNZKCCQSDVAD-UHFFFAOYSA-N,C1(C(C(C2=NC(=C(N2C1([H])[H])[H])[H])([H])C(N([H])[H])=O)([H])[H])([H])[H],[H]N([H])C(=O)C1([H])C2=NC([H])=C([H])N2C([H])([H])C([H])([H])C1([H])[H],,N/A,3.23,N/A,97.63,bmse011404
2131,C_MOWDGWFFMXIISD-UHFFFAOYSA-N,C(C(C1=C(N(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])N=N1)[H])([H])N([H])[H])([H])([H])[H].Cl[H],Cl[H].[H]N([H])C([H])(C=1N=NN(C1[H])C=2C([H])=C([H])C([H])=C([H])C2[H])C([H])([H])[H],Multiple molecules,,,,,bmse011405
2132,66131-71-3,C(N(C1=NC(=C(C(=N1)[H])[H])OC([H])([H])[H])[H])([H])([H])[H],N=1C=CC(=NC1NC)OC,,N/A,3.17,N/A,93.54,bmse011406
2133,C_HCEIEGOMGWEGOJ-UHFFFAOYSA-N,C(C(N(C1(C(C=2C(=C(C(=C(C2N(C1([H])[H])[H])[H])[H])[H])[H])([H])[H])[H])[H])=O)([H])([H])[H],[H]C=1C([H])=C([H])C2=C(C1[H])N([H])C([H])([H])C([H])(N([H])C(=O)C([H])([H])[H])C2([H])[H],,N/A,3.65,N/A,42.25,bmse011407
2134,C_MRTGYFRQZQCITC-UHFFFAOYSA-N,C(C(S(N(C=1C(=C(C(=C(C1F)[H])[H])[H])[H])[H])(=O)=O)([H])[H])([H])([H])[H],[H]C=1C([H])=C([H])C(N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])=C(F)C1[H],,N/A,4.1,N/A,16.03,bmse011408
2135,C_NEMWEYAZCVDHEF-UHFFFAOYSA-N,C(OC=1C(=C(C(=C2C1C(C(C(C(N2[H])=O)([H])[H])([H])[H])([H])[H])[H])[H])[H])([H])([H])[H],[H]C=1C([H])=C(OC([H])([H])[H])C2=C(C1[H])N([H])C(=O)C([H])([H])C([H])([H])C2([H])[H],,N/A,3.96,N/A,20.78,bmse011409
2136,1423029-76-8,C(C(C([H])([H])[H])(N1C(=NC(=C1[H])S(N([H])[H])(=O)=O)[H])[H])([H])([H])[H],O=S(=O)(N)C=1N=CN(C1)C(C)C,,N/A,N/A,N/A,N/A,bmse011410
2137,C_BOEMFEOUVXWWNZ-UHFFFAOYSA-N,C(C(N(C=1C(=C(C(=C(C1C([H])([H])C(=O)O[H])[H])[H])[H])[H])[H])=O)([H])([H])[H],[H]OC(=O)C([H])([H])C=1C([H])=C([H])C([H])=C([H])C1N([H])C(=O)C([H])([H])[H],,N/A,3.39,N/A,78.15,bmse011411
2138,C_OESOTMQEPBMDID-UHFFFAOYSA-N,C(N(C1(C(C([H])([H])C(C1([H])[H])([H])[H])([H])[H])C(N([H])[H])=O)[H])([H])([H])[H],[H]N([H])C(=O)C1(N([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],,N/A,2.31,N/A,691.32,bmse011412
2139,649-15-0,C(C(N(C(C([H])([H])[H])([H])[H])S(C1=C(C([H])=C(C([H])([H])[H])C(=C1[H])[H])[H])(=O)=O)([H])[H])([H])([H])[H],O=S(=O)(C1=CC=C(C=C1)C)N(CC)CC,,N/A,N/A,N/A,N/A,bmse011413
2140,C_ASDJKAINAVUHGV-UHFFFAOYSA-N,C(N(C1(C(C(C1([H])[H])([H])[H])([H])[H])[H])C=2C(=C(C(=NN2)C(N([H])[H])=O)[H])[H])([H])([H])[H],[H]N([H])C(=O)C1=NN=C(C([H])=C1[H])N(C([H])([H])[H])C2([H])C([H])([H])C([H])([H])C2([H])[H],,N/A,N/A,N/A,N/A,bmse011414
2141,C_RGHWOUDGPLSSGU-UHFFFAOYSA-N,C1(=C(C(=C(C(=C1[H])[H])C2(C(C(N(C(C2([H])[H])([H])[H])C([H])([H])C(=O)O[H])([H])[H])([H])[H])[H])[H])[H])[H].Cl[H],Cl[H].[H]OC(=O)C([H])([H])N1C([H])([H])C([H])([H])C([H])(C=2C([H])=C([H])C([H])=C([H])C2[H])C([H])([H])C1([H])[H],Multiple molecules,,,,,bmse011415
2142,C_NDEZMUYBKJXUGJ-UHFFFAOYSA-N,C1(=C(C(C(C1([H])[H])(N(C=2C(=C(C([H])=C([H])N2)C(N([H])[H])=O)[H])[H])[H])([H])[H])[H])[H],[H]N([H])C(=O)C=1C([H])=C([H])N=C(C1[H])N([H])C2([H])C([H])([H])C([H])=C([H])C2([H])[H],,N/A,4.19,N/A,13.2,bmse011416
2143,C_VTJBQJOBKLNCDW-UHFFFAOYSA-N,C(C(N(C(C1=C([H])N([H])N=N1)=O)[H])([H])[H])([H])([H])[H],[H]C=1N([H])N=NC1C(=O)N([H])C([H])([H])C([H])([H])[H],,N/A,N/A,N/A,N/A,bmse011417
2144,1443980-28-6,C(C=1C([H])=C2C(=C(C1N(C(C([H])([H])[H])=O)[H])[H])OC([H])([H])O2)([H])([H])[H],O=C(NC1=CC=2OCOC2C=C1C)C,,N/A,3.79,N/A,31.39,bmse011418
2145,C_RYRDUZSMONMBBE-UHFFFAOYSA-N,C(C=1C(=C(C(=C2C(C(C(N(C12)[H])([H])[H])([H])[H])([H])[H])N(C(C([H])([H])[H])=O)[H])[H])[H])([H])([H])[H],[H]C=1C([H])=C(C=2N([H])C([H])([H])C([H])([H])C([H])([H])C2C1N([H])C(=O)C([H])([H])[H])C([H])([H])[H],,N/A,4.5,N/A,6.41,bmse011419
2146,C_YMWFZAPJPMKMSQ-UHFFFAOYSA-N,C(C1=C([H])SC(C([H])([H])N(C(C2(C(C(C2([H])[H])([H])[H])([H])[H])[H])=O)[H])=N1)([H])([H])[H],[H]C=1SC(=NC1C([H])([H])[H])C([H])([H])N([H])C(=O)C2([H])C([H])([H])C([H])([H])C2([H])[H],,N/A,N/A,N/A,N/A,bmse011420
2147,C_XUHKVJOCQINJLO-UHFFFAOYSA-N,C1(C(C(N(C1([H])[H])C(C(N(C=2C(=C(C(=C(C2[H])[H])F)[H])[H])[H])=O)([H])[H])([H])[H])([H])[H])([H])[H],[H]C=1C([H])=C(C([H])=C([H])C1F)N([H])C(=O)C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H],,N/A,4.35,N/A,10.04,bmse011421
2148,312611-90-8,C1(=C(C2=C(C(=C(C(=C2N=C1[H])O[H])[H])[H])C([H])([H])N3C([H])([H])C([H])([H])OC(C3([H])[H])([H])[H])[H])[H],OC=1C=CC(=C2C=CC=NC12)CN3CCOCC3,,N/A,4.35,N/A,10.84,bmse011422
2149,1384429-42-8,C(C=1C([H])=C(C(=C(C1[H])S(N([H])[H])(=O)=O)[H])F)([H])([H])[H],O=S(=O)(N)C=1C=C(F)C=C(C1)C,,N/A,N/A,N/A,N/A,bmse011423
2150,925689-10-7,C(N1N=C(C(=C1[H])C(N([H])[H])=O)C([H])(F)F)([H])([H])[H],O=C(N)C1=CN(N=C1C(F)F)C,,N/A,2.93,N/A,205.07,bmse011424
2151,C_BYBPMNCMIPWXRE-UHFFFAOYSA-N,C=1(C(=C([H])C=2C([H])([H])C(N(C2C1[H])[H])([H])[H])C(N([H])[H])=O)[H].Cl[H],Cl[H].[H]N([H])C(=O)C1=C([H])C([H])=C2N([H])C([H])([H])C([H])([H])C2=C1[H],Multiple molecules,,,,,bmse011425
2152,C_AEJFWHRDKIKKDQ-UHFFFAOYSA-N,C(C(C=1C(=C(C(=C(C1[H])[H])C=2C([H])=NC(=NC2[H])[H])[H])[H])([H])N([H])[H])([H])([H])[H],[H]N([H])C([H])(C1=C([H])C([H])=C(C([H])=C1[H])C2=C([H])N=C([H])N=C2[H])C([H])([H])[H],,N/A,3.84,N/A,28.55,bmse011426
2153,C_KOEHHYFUIVEIQO-UHFFFAOYSA-N,C1(C(C([H])([H])C([H])([H])OC1([H])[H])(C(C(N([H])[H])=O)([H])O[H])[H])([H])[H],[H]OC([H])(C(=O)N([H])[H])C1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],,N/A,1.97,N/A,1699.92,bmse011427
2154,40508-01-8,C(C=1N(C(C([H])([H])C(N([H])[H])=O)([H])[H])C=2C(=C(C(=C(C2N1)[H])[H])[H])[H])([H])([H])[H],O=C(N)CCN1C(=NC=2C=CC=CC21)C,,N/A,3.83,N/A,29.96,bmse011428
2155,C_KBFKODIOYYFXAF-UHFFFAOYSA-N,C(C(C([H])([H])[H])(C(N(C(C1=NC=2C(=C(C(=C(C2N1[H])[H])[H])[H])[H])([H])[H])[H])=O)[H])([H])([H])[H],[H]C=1C([H])=C([H])C=2N([H])C(=NC2C1[H])C([H])([H])N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],,N/A,4.33,N/A,10.26,bmse011429
2156,C_HMJIOKFBRSKMHO-UHFFFAOYSA-N,C(C(N(S(C([H])([H])[H])(=O)=O)[H])([H])C=1C(=C([H])C(=C(C1Cl)[H])[H])[H])([H])([H])[H],[H]C=1C([H])=C([H])C(=C(Cl)C1[H])C([H])(N([H])S(=O)(=O)C([H])([H])[H])C([H])([H])[H],,N/A,4.3,N/A,11.82,bmse011430
2157,17722-17-7,C1(=C(C(=C(C([H])=C1Cl)[H])N(C(C(C#N)([H])[H])=O)[H])[H])[H],N#CCC(=O)NC1=CC=C(Cl)C=C1,,N/A,3.93,N/A,23.11,bmse011431
2158,C_OMEQZPBOTOKCQC-UHFFFAOYSA-N,C(C(N(C1=NC(=NS1)SC([H])([H])[H])[H])=O)([H])([H])[H],[H]N(C1=NC(=NS1)SC([H])([H])[H])C(=O)C([H])([H])[H],,N/A,N/A,N/A,N/A,bmse011432
2159,1486-51-7,C1(=C(C(=C(C(=C1[H])[H])C(OC=2C(=C(C(=C([H])C2[H])C(=O)O[H])[H])[H])([H])[H])[H])[H])[H],O=C(O)C1=CC=C(OCC=2C=CC=CC2)C=C1,,N/A,4.4,N/A,9,bmse011433
2160,C_UXFOKKJYLJZQMG-UHFFFAOYSA-N,C(C(C([H])([H])[H])(C(C(N(C=1C(=C([H])C(=C(C1[H])[H])N(C(C([H])([H])[H])=O)[H])[H])[H])=O)([H])[H])[H])([H])([H])[H],[H]C=1C([H])=C(C([H])=C([H])C1N([H])C(=O)C([H])([H])[H])N([H])C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],,N/A,4.6,N/A,5.83,bmse011434
2161,1878-81-5,C(C(C=1C(=C(C(=C(C1[H])[H])OC(C(=O)O[H])([H])[H])[H])[H])=O)([H])([H])[H],O=C(O)COC1=CC=C(C=C1)C(=O)C,,N/A,3.66,N/A,42.14,bmse011435
2162,127-77-5,C1(=C(C(=C(C(=C1[H])[H])N(S(C2=C(C([H])=C(C(=C2[H])[H])N([H])[H])[H])(=O)=O)[H])[H])[H])[H],O=S(=O)(NC=1C=CC=CC1)C2=CC=C(N)C=C2,,N/A,N/A,N/A,N/A,bmse011436
2163,4919-33-9,C(C(OC=1C(=C(C(=C([H])C1[H])C(C(=O)O[H])([H])[H])[H])[H])([H])[H])([H])([H])[H],O=C(O)CC1=CC=C(OCC)C=C1,,N/A,3.78,N/A,29.8,bmse011437
2164,21674-96-4,C(C(N(C=1C(=C(C(=C([H])C1[H])C2=C([H])SC(=N2)N([H])[H])[H])[H])[H])=O)([H])([H])[H],O=C(NC=1C=CC(=CC1)C=2N=C(SC2)N)C,,N/A,N/A,N/A,N/A,bmse011438
2165,52537-88-9,C(OC=1C(=C(C(=C([H])C1[H])N(C(C=2C(=C([H])C(=C(C2O[H])[H])[H])[H])([H])[H])[H])[H])[H])([H])([H])[H],OC=1C=CC=CC1CNC2=CC=C(OC)C=C2,,N/A,4.85,N/A,3.25,bmse011439
2166,438215-91-9,C(C=1C(=C(C(=C([H])C1C([H])([H])[H])C2=C(C([H])([H])[H])SC(=N2)N([H])[H])[H])[H])([H])([H])[H],N1=C(SC(=C1C2=CC=C(C(=C2)C)C)C)N,,N/A,N/A,N/A,N/A,bmse011440
2167,2242-31-1,C(N(C(C1(C([H])([H])OC=2C(=C([H])C(=C(C2O1)[H])[H])[H])[H])([H])[H])[H])([H])([H])[H],O1C=2C=CC=CC2OC(C1)CNC,,N/A,3.39,N/A,72.71,bmse011441
2168,C_CDCGNSIPUSWYOD-UHFFFAOYSA-N,C1(=C(C(=C(C(=C1[H])[H])OC(C(N(C=2C(=C(C(=C(C2O[H])[H])[H])[H])[H])[H])=O)([H])[H])[H])[H])[H],[H]OC=1C([H])=C([H])C([H])=C([H])C1N([H])C(=O)C([H])([H])OC=2C([H])=C([H])C([H])=C([H])C2[H],,N/A,4.72,N/A,4.62,bmse011442
2169,C_DYIRLVMOTKTVPF-UHFFFAOYSA-N,C(C(C([H])([H])[H])(C(N(C1=C([H])C([H])=C(C(=C1[H])[H])N2C(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])=O)[H])([H])([H])[H],[H]C=1C([H])=C(C([H])=C([H])C1N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],,N/A,4.69,N/A,5.01,bmse011443
2170,C_RUSZWJCTEFVRHG-UHFFFAOYSA-N,C1(C(C(C1([H])[H])(C(N(C=2C(=C(C(=C(C2[H])[H])N3C([H])=NN=N3)[H])[H])[H])=O)[H])([H])[H])([H])[H],[H]C1=NN=NN1C2=C([H])C([H])=C(C([H])=C2[H])N([H])C(=O)C3([H])C([H])([H])C([H])([H])C3([H])[H],,N/A,N/A,N/A,N/A,bmse011444
2171,C_VLJURLSEYALRQJ-UHFFFAOYSA-N,C(OC1=C(C(C([H])([H])N([H])[H])=C(C(=C1OC([H])([H])[H])OC([H])([H])[H])[H])[H])([H])([H])[H].Cl[H],Cl[H].[H]N([H])C([H])([H])C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H],Multiple molecules,,,,,bmse011445
2172,C_OSBGPHZLIBZPGJ-UHFFFAOYSA-N,C1(=C(C(=C(C(=C1[H])[H])N(C(N2C(C([H])([H])C(C(C2([H])[H])([H])[H])([H])C(N([H])[H])=O)([H])[H])=O)[H])[H])[H])[H],[H]N([H])C(=O)C1([H])C([H])([H])C([H])([H])N(C(=O)N([H])C=2C([H])=C([H])C([H])=C([H])C2[H])C([H])([H])C1([H])[H],,N/A,3.91,N/A,30.39,bmse011446
2173,41455-82-7,C1(C(C(N(C1([H])[H])C(C=2C(=C(C(=C3C2C(=C([H])C(=N3)[H])[H])O[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H],OC=1C=CC(=C2C=CC=NC12)CN3CCCC3,,N/A,4.41,N/A,8.85,bmse011447
2174,438218-98-5,C(C(C=1C(=C(C(=C(C1[H])[H])C2=C(C([H])([H])[H])SC(=N2)N([H])[H])[H])[H])([H])[H])([H])([H])[H],N1=C(SC(=C1C2=CC=C(C=C2)CC)C)N,,N/A,N/A,N/A,N/A,bmse011448
2175,868552-05-0,C(N(C(C=1C(=NN(C1[H])C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])[H])([H])[H])[H])([H])([H])[H],N1=CC(=CN1C=2C=CC=CC2)CNC,,N/A,3.91,N/A,23.15,bmse011449
