Index,ID,Query,SmilesRan,Error,Exp_Value:_-Log10(mol/L),Pred_Value:_-Log10(mol/L),Exp_Value:_mg/L,Pred_Value:_mg/L,
56,73-24-5,C=1(N(C2=C(N([H])[H])N=C(N=C2N1)[H])[H])[H],N=1C=NC=2NC=NC2C1N,,N/A,2.51,N/A,415.07,bmse000060
57,C_OIRDTQYFTABQOQ-UHFFFAOYSA-N,C1(=NC(=C2C(=N1)N(C(=N2)[H])C3(C(C(C(C(O[H])([H])[H])(O3)[H])(O[H])[H])(O[H])[H])[H])N([H])[H])[H],[H]OC([H])([H])C1([H])OC([H])(N2C([H])=NC=3C(=NC([H])=NC32)N([H])[H])C([H])(O[H])C1([H])O[H],,N/A,2.28,N/A,1400.09,bmse000061
58,87-99-0,O(C(C(O[H])(C(O[H])([H])[H])[H])(C(O[H])(C(O[H])([H])[H])[H])[H])[H],OCC(O)C(O)C(O)CO,,N/A,0.94,N/A,17385.35,bmse000062
59,306-60-5,N(C(C(C(C(N=C(N([H])[H])N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],N=C(N)NCCCCN,,N/A,N/A,N/A,N/A,bmse000063
60,328-50-7,C(C(=O)C(C(C(=O)O[H])([H])[H])([H])[H])(=O)O[H],O=C(O)C(=O)CCC(=O)O,,N/A,2.44,N/A,533.62,bmse000064
61,5965-66-2,C1(C(C(C(C(C(O[H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(O[H])[H])(OC2(C(C(C(O[H])(OC2(C(O[H])([H])[H])[H])[H])(O[H])[H])(O[H])[H])[H])[H],OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,,N/A,2.25,N/A,1940.75,bmse000065
62,150-13-0,[H]C1=C([H])C(=C([H])C([H])=C1C(=O)O[H])N([H])[H],O=C(O)C1=CC=C(N)C=C1,,N/A,2.85,N/A,192.31,bmse000066
63,118-92-3,C1(=C(C(=C(C(=C1[H])C(O[H])=O)N([H])[H])[H])[H])[H],O=C(O)C=1C=CC=CC1N,,N/A,2.84,N/A,196.95,bmse000067
64,87-99-0,C(C(C(O[H])([H])[H])(O[H])[H])(C(C(O[H])([H])[H])(O[H])[H])(O[H])[H],OCC(O)C(O)C(O)CO,,N/A,0.94,N/A,17385.35,bmse000068
65,107-43-7,C([N+](C(C(=O)[O-])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])([H])[H],O=C([O-])C[N+](C)(C)C,,N/A,N/A,N/A,N/A,bmse000069
66,7418-61-3,O=C(C([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H],O=CC[N+](C)(C)C,,N/A,N/A,N/A,N/A,bmse000070
67,86594-34-5,C1(=NC(=C2C(=N1)N(C(=N2)[H])C3(C(C4(C(C(OP(O[H])(=O)O4)([H])[H])(O3)[H])[H])(O[H])[H])[H])N([H])[H])[H],,Structure can't be parsed,,,,,bmse000071
68,462-94-2,N(C(C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],NCCCCCN,,N/A,2.46,N/A,354.9,bmse000072
69,NOCAS_859473,N(C(C(C(ON=C(N([H])[H])N([H])[H])([H])[H])([H])[H])(C(=O)O[H])[H])([H])[H],,Structure can't be parsed,,,,,bmse000073
70,461-06-3,C([N+](C([H])([H])[H])(C([H])([H])[H])C(C(O[H])(C(C(O[H])=O)([H])[H])[H])([H])[H])([H])([H])[H],O=C([O-])CC(O)C[N+](C)(C)C,,N/A,N/A,N/A,N/A,bmse000074
71,C_WTFXTQVDAKGDEY-UHFFFAOYSA-N,C1(C(=C(C(=C(C1(O[H])[H])[H])[H])C(O[H])=O)[H])(OC(C(O[H])=O)=C([H])[H])[H],[H]OC(=O)C(OC1([H])C([H])=C(C([H])=C([H])C1([H])O[H])C(=O)O[H])=C([H])[H],,N/A,3.65,N/A,51.01,bmse000075
72,77-92-9,C(C(O[H])=O)(C(C(C(O[H])=O)([H])[H])(C(O[H])=O)O[H])([H])[H],O=C(O)CC(O)(C(=O)O)CC(=O)O,,N/A,2.28,N/A,1008.33,bmse000076
73,91-64-5,C1(=C(C(=C2C(=C1[H])C(=C(C(=O)O2)[H])[H])[H])[H])[H],O=C1OC=2C=CC=CC2C=C1,,N/A,3.83,N/A,21.66,bmse000077
74,57-00-1,C(N(C(C(=O)O[H])([H])[H])C([H])([H])[H])(=N[H])N([H])[H],O=C(O)CN(C(=N)N)C,,N/A,N/A,N/A,N/A,bmse000078
75,67-07-2,O=P(N=C(N(C(C(=O)O[H])([H])[H])C([H])([H])[H])N([H])[H])(O[H])O[H],O=C(O)CN(C(=N)NP(=O)(O)O)C,,N/A,N/A,N/A,N/A,bmse000079
76,3395-35-5,C1(C(=C(C(N1[H])(C(=O)O[H])[H])[H])[H])([H])[H],O=C(O)C1C=CCN1,,N/A,2.69,N/A,232.43,bmse000080
77,6915-18-0,C(C(=C(C(=O)O[H])[H])[H])(=O)O[H],O=C(O)C=CC(=O)O,,4.37,2.79,5,187.87,bmse000083
78,133-42-6,C(C(C(C(C(C(O[H])([H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(=O)O[H],O=C(O)C(O)C(O)C(O)C(O)CO,,N/A,1.42,N/A,7500.98,bmse000084
79,NOCAS_861599,C1(C(C(C(C(C(O[H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(O[H])[H])(OP(=O)(O[H])O[H])[H],,Structure can't be parsed,,,,,bmse000086
80,NOCAS_864226,C1(C(C(C(C(C(OP(O[H])(=O)O[H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(O[H])[H])(OP(O[H])(O[H])=O)[H],,Structure can't be parsed,,,,,bmse000087
81,56-40-6,C(=O)(O[H])C(N([H])[H])([H])[H],O=C(O)CN,,N/A,1.65,N/A,1679.39,bmse000089
82,73-40-5,C=1(N(C2=C(N(C(N([H])[H])=NC2=O)[H])N1)[H])[H],O=C1NC(=NC=2NC=NC12)N,,N/A,N/A,N/A,N/A,bmse000090
83,NOCAS_901952,O1C(N2C=3N(C(=NC(=O)C3N=C2[H])N([H])[H])[H])(C(O[H])(C(O[H])(C1(C(O[H])([H])[H])[H])[H])[H])[H],OC1=NC(=NC2=C1N=CN2C3OC(CO)C(O)C3O)N,,N/A,2.55,N/A,804.89,bmse000091
84,99-96-7,C1(=C(C(=C(C(=C1C(O[H])=O)[H])[H])O[H])[H])[H],O=C(O)C1=CC=C(O)C=C1,,N/A,3.17,N/A,92.62,bmse000092
85,588-30-7,C1(=C(C(=C(C(=C1[H])O[H])[H])C(=C(C(O[H])=O)[H])[H])[H])[H],O=C(O)C=CC=1C=CC=C(O)C1,,N/A,4.4,N/A,6.48,bmse000093
86,68-94-0,C=1(N(C2=C(N(C(=NC2=O)[H])[H])N1)[H])[H],O=C1N=CNC=2N=CNC12,,N/A,N/A,N/A,N/A,bmse000094
87,149-32-6,O(C(C(C(C(O[H])([H])[H])(O[H])[H])(O[H])[H])([H])[H])[H],OCC(O)C(O)CO,,N/A,0.96,N/A,13493.12,bmse000095
88,288-32-4,[H]C1=C([H])N([H])C([H])=N1,N=1C=CNC1,,N/A,2.04,N/A,627.4,bmse000096
89,120-72-9,C1(=C(C(=C2C(=C1[H])C(=C(N2[H])[H])[H])[H])[H])[H],C=1C=CC=2NC=CC2C1,,N/A,3.84,N/A,16.78,bmse000097
